dimension,model,group,policy,threshold,n,approval_rate,fnr,fpr,EL
age_group,logreg_C,18-34,naive,0.5,3851,0.964165,0.800454,0.014663,0.929629
age_group,logreg_C,18-34,f1,0.19,3851,0.820566,0.380952,0.122581,0.544794
age_group,logreg_C,18-34,cost_5,0.172,3851,0.806803,0.358277,0.135191,0.324851
age_group,logreg_C,18-34,cost_10,0.088,3851,0.588419,0.179138,0.358651,0.522721
age_group,logreg_C,18-34,cost_20,0.055,3851,0.479356,0.108844,0.472727,0.667878
age_group,logreg_C,35-49,naive,0.5,9489,0.976394,0.816456,0.009082,0.68806
age_group,logreg_C,35-49,f1,0.19,9489,0.876594,0.440506,0.083803,0.443566
age_group,logreg_C,35-49,cost_5,0.172,9489,0.866477,0.41519,0.092539,0.257667
age_group,logreg_C,35-49,cost_10,0.088,9489,0.761303,0.251899,0.192436,0.386131
age_group,logreg_C,35-49,cost_20,0.055,9489,0.644114,0.173418,0.313139,0.575825
age_group,logreg_C,50-64,naive,0.5,10379,0.984873,0.840836,0.005944,0.50949
age_group,logreg_C,50-64,f1,0.19,10379,0.922921,0.527331,0.05186,0.364775
age_group,logreg_C,50-64,cost_5,0.172,10379,0.915695,0.501608,0.057907,0.20474
age_group,logreg_C,50-64,cost_10,0.088,10379,0.845746,0.347267,0.122476,0.323249
age_group,logreg_C,50-64,cost_20,0.055,10379,0.758455,0.228296,0.207748,0.468928
age_group,logreg_C,65+,naive,0.5,6160,0.997403,0.932886,0.000998,0.226623
age_group,logreg_C,65+,f1,0.19,6160,0.975,0.657718,0.017135,0.175812
age_group,logreg_C,65+,cost_5,0.172,6160,0.972078,0.651007,0.019963,0.098214
age_group,logreg_C,65+,cost_10,0.088,6160,0.944805,0.536913,0.045084,0.173864
age_group,logreg_C,65+,cost_20,0.055,6160,0.906494,0.369128,0.080186,0.256818
