dimension,model,group,policy,threshold,n,approval_rate,fnr,fpr,EL
age_group,rf_C,18-34,naive,0.5,3851,0.963905,0.791383,0.013783,0.918463
age_group,rf_C,18-34,f1,0.24,3851,0.871981,0.471655,0.076246,0.607634
age_group,rf_C,18-34,cost_5,0.172,3851,0.841859,0.399093,0.10088,0.31784
age_group,rf_C,18-34,cost_10,0.086,3851,0.662685,0.199546,0.277419,0.474163
age_group,rf_C,18-34,cost_20,0.0476,3851,0.452869,0.099773,0.501466,0.672553
age_group,rf_C,35-49,naive,0.5,9489,0.974813,0.807595,0.010001,0.681526
age_group,rf_C,35-49,f1,0.24,9489,0.901886,0.505063,0.062076,0.477395
age_group,rf_C,35-49,cost_5,0.172,9489,0.877121,0.436709,0.082883,0.257772
age_group,rf_C,35-49,cost_10,0.086,9489,0.770471,0.258228,0.18301,0.382759
age_group,rf_C,35-49,cost_20,0.0476,9489,0.587628,0.121519,0.370043,0.541574
age_group,rf_C,50-64,naive,0.5,10379,0.98497,0.858521,0.006969,0.521052
age_group,rf_C,50-64,f1,0.24,10379,0.934676,0.557878,0.041304,0.373157
age_group,rf_C,50-64,cost_5,0.172,10379,0.915599,0.5,0.057907,0.204259
age_group,rf_C,50-64,cost_10,0.086,10379,0.834666,0.319936,0.13252,0.316312
age_group,rf_C,50-64,cost_20,0.0476,10379,0.676077,0.176849,0.292098,0.486559
age_group,rf_C,65+,naive,0.5,6160,0.995292,0.899329,0.002329,0.219805
age_group,rf_C,65+,f1,0.24,6160,0.974351,0.637584,0.017302,0.171104
age_group,rf_C,65+,cost_5,0.172,6160,0.965584,0.610738,0.02562,0.098864
age_group,rf_C,65+,cost_10,0.086,6160,0.92987,0.442953,0.05806,0.163799
age_group,rf_C,65+,cost_20,0.0476,6160,0.877273,0.342282,0.109466,0.272403
