dimension,model,group,policy,threshold,n,approval_rate,fnr,fpr,EL
age_group,xgb_C,18-34,naive,0.5,3851,0.97585,0.852608,0.008211,0.983641
age_group,xgb_C,18-34,f1,0.23,3851,0.863672,0.451247,0.082991,0.590236
age_group,xgb_C,18-34,cost_5,0.149,3851,0.798494,0.335601,0.141642,0.31758
age_group,xgb_C,18-34,cost_10,0.084,3851,0.621916,0.188209,0.321994,0.500649
age_group,xgb_C,18-34,cost_20,0.039,3851,0.446378,0.097506,0.508504,0.673591
age_group,xgb_C,35-49,naive,0.5,9489,0.982611,0.856962,0.005978,0.718938
age_group,xgb_C,35-49,f1,0.23,9489,0.900727,0.5,0.062881,0.473917
age_group,xgb_C,35-49,cost_5,0.149,9489,0.844241,0.364557,0.112197,0.254611
age_group,xgb_C,35-49,cost_10,0.084,9489,0.735483,0.222785,0.217956,0.385288
age_group,xgb_C,35-49,cost_20,0.039,9489,0.571082,0.116456,0.387631,0.549268
age_group,xgb_C,50-64,naive,0.5,10379,0.989594,0.893891,0.004305,0.539744
age_group,xgb_C,50-64,f1,0.23,10379,0.936217,0.569132,0.040381,0.379035
age_group,xgb_C,50-64,cost_5,0.149,10379,0.895944,0.459807,0.076253,0.209461
age_group,xgb_C,50-64,cost_10,0.084,10379,0.810194,0.29582,0.157015,0.324887
age_group,xgb_C,50-64,cost_20,0.039,10379,0.671645,0.175241,0.29671,0.488968
age_group,xgb_C,65+,naive,0.5,6160,0.997565,0.926174,0.000665,0.224675
age_group,xgb_C,65+,f1,0.23,6160,0.977597,0.671141,0.014806,0.176786
age_group,xgb_C,65+,cost_5,0.149,6160,0.961364,0.597315,0.029612,0.101136
age_group,xgb_C,65+,cost_10,0.084,6160,0.931006,0.469799,0.057561,0.169805
age_group,xgb_C,65+,cost_20,0.039,6160,0.878247,0.322148,0.107969,0.261201
