dimension,model,group,policy,threshold,n,approval_rate,fnr,fpr,EL
dependents_group,rf_C,0,naive,0.5,17958,0.982626,0.820076,0.007218,0.48903
dependents_group,rf_C,0,f1,0.24,17958,0.932342,0.52178,0.042007,0.346364
dependents_group,rf_C,0,cost_5,0.172,17958,0.915469,0.465909,0.056443,0.19011
dependents_group,rf_C,0,cost_10,0.086,17958,0.831997,0.285985,0.133889,0.294186
dependents_group,rf_C,0,cost_20,0.0476,17958,0.692505,0.154356,0.273873,0.439303
dependents_group,rf_C,>=1,naive,0.5,11921,0.978945,0.834038,0.008565,0.669742
dependents_group,rf_C,>=1,f1,0.24,11921,0.91234,0.526427,0.054396,0.46783
dependents_group,rf_C,>=1,cost_5,0.172,11921,0.887174,0.455603,0.075626,0.250398
dependents_group,rf_C,>=1,cost_10,0.086,11921,0.781226,0.269556,0.17467,0.374717
dependents_group,rf_C,>=1,cost_20,0.0476,11921,0.612784,0.145877,0.34697,0.55096
