dimension,model,group,policy,threshold,n,approval_rate,fnr,fpr,EL
dependents_group,xgb_C,0,naive,0.5,17958,0.988807,0.870265,0.003787,0.515314
dependents_group,xgb_C,0,f1,0.23,17958,0.933066,0.526515,0.041534,0.348703
dependents_group,xgb_C,0,cost_5,0.149,17958,0.898096,0.426136,0.072417,0.193451
dependents_group,xgb_C,0,cost_10,0.084,17958,0.81401,0.267992,0.151876,0.300535
dependents_group,xgb_C,0,cost_20,0.039,17958,0.690222,0.151515,0.276121,0.438078
dependents_group,xgb_C,>=1,naive,0.5,11921,0.984901,0.875264,0.005649,0.699774
dependents_group,xgb_C,>=1,f1,0.23,11921,0.910662,0.520085,0.055672,0.463971
dependents_group,xgb_C,>=1,cost_5,0.149,11921,0.853871,0.381607,0.105421,0.248469
dependents_group,xgb_C,>=1,cost_10,0.084,11921,0.746582,0.243129,0.210023,0.386293
dependents_group,xgb_C,>=1,cost_20,0.039,11921,0.597601,0.139535,0.362916,0.555574
